x,t=1.00e-01s,t=2.10e-01s,t=3.31e-01s,t=4.64e-01s,t=6.11e-01s,t=7.72e-01s,t=9.49e-01s,t=1.14e+00s,t=1.36e+00s,t=1.59e+00s,t=1.85e+00s,t=2.14e+00s,t=2.45e+00s,t=2.80e+00s,t=3.18e+00s,t=3.59e+00s,t=4.05e+00s,t=4.56e+00s,t=5.12e+00s,t=5.73e+00s,t=6.40e+00s,t=7.14e+00s,t=7.95e+00s,t=8.85e+00s,t=9.83e+00s,t=1.09e+01s,t=1.21e+01s,t=1.34e+01s,t=1.49e+01s,t=1.64e+01s,t=1.82e+01s,t=2.01e+01s,t=2.22e+01s,t=2.45e+01s,t=2.71e+01s,t=2.99e+01s,t=3.30e+01s,t=3.64e+01s,t=4.01e+01s,t=4.43e+01s,t=4.88e+01s,t=5.38e+01s,t=5.92e+01s,t=6.53e+01s,t=7.19e+01s,t=7.92e+01s,t=8.72e+01s,t=9.60e+01s,t=1.06e+02s,t=1.16e+02s,t=1.28e+02s,t=1.41e+02s,t=1.55e+02s,t=1.71e+02s,t=1.88e+02s,t=2.07e+02s,t=2.28e+02s,t=2.51e+02s,t=2.76e+02s,t=3.03e+02s,t=3.34e+02s,t=3.67e+02s,t=4.04e+02s,t=4.45e+02s,t=4.89e+02s,t=5.38e+02s,t=5.92e+02s,t=6.52e+02s,t=7.17e+02s,t=7.89e+02s,t=8.68e+02s,t=9.55e+02s,t=1.00e+03s
1.010101010101010052e-08,1.304294308992576662e+23,1.304497402170939634e+23,1.304549030049997820e+23,1.304575445898582829e+23,1.304592299254973181e+23,1.304604325381783285e+23,1.304613508771083274e+23,1.304620846811705581e+23,1.304626903293940151e+23,1.304632024345228859e+23,1.304636435814374944e+23,1.304640291965693455e+23,1.304643701734566600e+23,1.304646743694644599e+23,1.304649474979948176e+23,1.304651936870532592e+23,1.304654158563964690e+23,1.304656160030212489e+23,1.304657954460966385e+23,1.304659550550022674e+23,1.304660954642244939e+23,1.304662172662356184e+23,1.304663211682319533e+23,1.304664080998547073e+23,1.304664792647717366e+23,1.304665361367825132e+23,1.304665804086418615e+23,1.304666139074647388e+23,1.304666384935329643e+23,1.304666559593748114e+23,1.304666679434603921e+23,1.304666758684076304e+23,1.304666809081839957e+23,1.304666839834595500e+23,1.304666857800073090e+23,1.304666867825260594e+23,1.304666873156878813e+23,1.304666875853087818e+23,1.304666877146677274e+23,1.304666877734190380e+23,1.304666877986225269e+23,1.304666878088128905e+23,1.304666878126879744e+23,1.304666878140711048e+23,1.304666878145334849e+23,1.304666878146780542e+23,1.304666878147202321e+23,1.304666878147316574e+23,1.304666878147316574e+23,1.304666878147316574e+23,1.304666878147316574e+23,1.304666878147316574e+23,1.304666878147316574e+23,1.304666878147316574e+23,1.304666878147316574e+23,1.304666878147316574e+23,1.304666878147316574e+23,1.304666878147316574e+23,1.304666878147316574e+23,1.304666878147316574e+23,1.304666878147316574e+23,1.304666878147316574e+23,1.304666878147316574e+23,1.304666878147316574e+23,1.304666878147316574e+23,1.304666878147316574e+23,1.304666878147316574e+23,1.304666878147316574e+23,1.304666878147316574e+23,1.304666878147316574e+23,1.304666878147316574e+23,1.304666878147316574e+23,1.304666878147316574e+23
0.000000000000000000e+00,1.304690286122059442e+23,1.304690286122059275e+23,1.304690286122058939e+23,1.304690286122059442e+23,1.304690286122059275e+23,1.304690286122059442e+23,1.304690286122058939e+23,1.304690286122059275e+23,1.304690286122058771e+23,1.304690286122059275e+23,1.304690286122058771e+23,1.304690286122058939e+23,1.304690286122059442e+23,1.304690286122059442e+23,1.304690286122059778e+23,1.304690286122059442e+23,1.304690286122059275e+23,1.304690286122058939e+23,1.304690286122058939e+23,1.304690286122059442e+23,1.304690286122059442e+23,1.304690286122059275e+23,1.304690286122059275e+23,1.304690286122059275e+23,1.304690286122058939e+23,1.304690286122059275e+23,1.304690286122059275e+23,1.304690286122059778e+23,1.304690286122059442e+23,1.304690286122059275e+23,1.304690286122059275e+23,1.304690286122059275e+23,1.304690286122059275e+23,1.304690286122059442e+23,1.304690286122059275e+23,1.304690286122058939e+23,1.304690286122059778e+23,1.304690286122059778e+23,1.304690286122059442e+23,1.304690286122059275e+23,1.304690286122059275e+23,1.304690286122059275e+23,1.304690286122059442e+23,1.304690286122059442e+23,1.304690286122059275e+23,1.304690286122059275e+23,1.304690286122059275e+23,1.304690286122059275e+23,1.304690286122059275e+23,1.304690286122059275e+23,1.304690286122059275e+23,1.304690286122059275e+23,1.304690286122059275e+23,1.304690286122059275e+23,1.304690286122059275e+23,1.304690286122059275e+23,1.304690286122059275e+23,1.304690286122059275e+23,1.304690286122059275e+23,1.304690286122059275e+23,1.304690286122059275e+23,1.304690286122059275e+23,1.304690286122059275e+23,1.304690286122059275e+23,1.304690286122059275e+23,1.304690286122059275e+23,1.304690286122059275e+23,1.304690286122059275e+23,1.304690286122059275e+23,1.304690286122059275e+23,1.304690286122059275e+23,1.304690286122059275e+23,1.304690286122059275e+23
2.020202020202020104e-08,1.303898451769959981e+23,1.304304518236792328e+23,1.304407773981858878e+23,1.304460605676931242e+23,1.304494312388946737e+23,1.304518364642194154e+23,1.304536731420582740e+23,1.304551407501698170e+23,1.304563520466080068e+23,1.304573762568598596e+23,1.304582585506846139e+23,1.304590297809450948e+23,1.304597117347174757e+23,1.304603201267311460e+23,1.304608663837904690e+23,1.304613587619060604e+23,1.304618031005915572e+23,1.304622033938402110e+23,1.304625622799903359e+23,1.304628814978009562e+23,1.304631623162449898e+23,1.304634059202668695e+23,1.304636137242592207e+23,1.304637875875044435e+23,1.304639299173381162e+23,1.304640436613595519e+23,1.304641322050781142e+23,1.304641992027238857e+23,1.304642483748601688e+23,1.304642833065438295e+23,1.304643072747149407e+23,1.304643231246093501e+23,1.304643332041620807e+23,1.304643393547132060e+23,1.304643429478086906e+23,1.304643449528461579e+23,1.304643460191699526e+23,1.304643465584117537e+23,1.304643468171295609e+23,1.304643469346322157e+23,1.304643469850392102e+23,1.304643470054198367e+23,1.304643470131700548e+23,1.304643470159362822e+23,1.304643470168611262e+23,1.304643470171501977e+23,1.304643470172345199e+23,1.304643470172574208e+23,1.304643470172574208e+23,1.304643470172574208e+23,1.304643470172574208e+23,1.304643470172574208e+23,1.304643470172574208e+23,1.304643470172574208e+23,1.304643470172574208e+23,1.304643470172574208e+23,1.304643470172574208e+23,1.304643470172574208e+23,1.304643470172574208e+23,1.304643470172574208e+23,1.304643470172574208e+23,1.304643470172574208e+23,1.304643470172574208e+23,1.304643470172574208e+23,1.304643470172574208e+23,1.304643470172574208e+23,1.304643470172574208e+23,1.304643470172574208e+23,1.304643470172574208e+23,1.304643470172574208e+23,1.304643470172574208e+23,1.304643470172574208e+23,1.304643470172574208e+23
1.010101010101010052e-08,1.304294308992576662e+23,1.304497402170939802e+23,1.304549030049997820e+23,1.304575445898583668e+23,1.304592299254973685e+23,1.304604325381783117e+23,1.304613508771082771e+23,1.304620846811705749e+23,1.304626903293940151e+23,1.304632024345229362e+23,1.304636435814374944e+23,1.304640291965693287e+23,1.304643701734567104e+23,1.304646743694645437e+23,1.304649474979948680e+23,1.304651936870533096e+23,1.304654158563965193e+23,1.304656160030212489e+23,1.304657954460966385e+23,1.304659550550022842e+23,1.304660954642244604e+23,1.304662172662356016e+23,1.304663211682320037e+23,1.304664080998547073e+23,1.304664792647717030e+23,1.304665361367825300e+23,1.304665804086418782e+23,1.304666139074647556e+23,1.304666384935329643e+23,1.304666559593748617e+23,1.304666679434603921e+23,1.304666758684076472e+23,1.304666809081840125e+23,1.304666839834595500e+23,1.304666857800073761e+23,1.304666867825260259e+23,1.304666873156878981e+23,1.304666875853088657e+23,1.304666877146677778e+23,1.304666877734190380e+23,1.304666877986225269e+23,1.304666878088129408e+23,1.304666878126880247e+23,1.304666878140710881e+23,1.304666878145335352e+23,1.304666878146780710e+23,1.304666878147202321e+23,1.304666878147316909e+23,1.304666878147316909e+23,1.304666878147316909e+23,1.304666878147316909e+23,1.304666878147316909e+23,1.304666878147316909e+23,1.304666878147316909e+23,1.304666878147316909e+23,1.304666878147316909e+23,1.304666878147316909e+23,1.304666878147316909e+23,1.304666878147316909e+23,1.304666878147316909e+23,1.304666878147316909e+23,1.304666878147316909e+23,1.304666878147316909e+23,1.304666878147316909e+23,1.304666878147316909e+23,1.304666878147316909e+23,1.304666878147316909e+23,1.304666878147316909e+23,1.304666878147316909e+23,1.304666878147316909e+23,1.304666878147316909e+23,1.304666878147316909e+23,1.304666878147316909e+23
3.030303030303030487e-08,1.303502714417816095e+23,1.304111634336580297e+23,1.304266517921564795e+23,1.304345765458929873e+23,1.304396325525035397e+23,1.304432403903977903e+23,1.304459954071036326e+23,1.304481968192383489e+23,1.304500137638740246e+23,1.304515500792367295e+23,1.304528735199631403e+23,1.304540303653457919e+23,1.304550532959981892e+23,1.304559658840140724e+23,1.304567852695992570e+23,1.304575238367696996e+23,1.304581903447954198e+23,1.304587907846665048e+23,1.304593291138899724e+23,1.304598079406044936e+23,1.304602291682692940e+23,1.304605945743010064e+23,1.304609062802889040e+23,1.304611670751558909e+23,1.304613805699059050e+23,1.304615511859376475e+23,1.304616840015150716e+23,1.304617844979834018e+23,1.304618582561876250e+23,1.304619106537130993e+23,1.304619466059696403e+23,1.304619703808112040e+23,1.304619855001402328e+23,1.304619947259668621e+23,1.304620001156101728e+23,1.304620031231663234e+23,1.304620047226519400e+23,1.304620055315147087e+23,1.304620059195913944e+23,1.304620060958453095e+23,1.304620061714558097e+23,1.304620062020268332e+23,1.304620062136521688e+23,1.304620062178014763e+23,1.304620062191887172e+23,1.304620062196223244e+23,1.304620062197488246e+23,1.304620062197831843e+23,1.304620062197831843e+23,1.304620062197831843e+23,1.304620062197831843e+23,1.304620062197831843e+23,1.304620062197831843e+23,1.304620062197831843e+23,1.304620062197831843e+23,1.304620062197831843e+23,1.304620062197831843e+23,1.304620062197831843e+23,1.304620062197831843e+23,1.304620062197831843e+23,1.304620062197831843e+23,1.304620062197831843e+23,1.304620062197831843e+23,1.304620062197831843e+23,1.304620062197831843e+23,1.304620062197831843e+23,1.304620062197831843e+23,1.304620062197831843e+23,1.304620062197831843e+23,1.304620062197831843e+23,1.304620062197831843e+23,1.304620062197831843e+23,1.304620062197831843e+23
2.020202020202020104e-08,1.303898451769959981e+23,1.304304518236792160e+23,1.304407773981858878e+23,1.304460605676931577e+23,1.304494312388946402e+23,1.304518364642194154e+23,1.304536731420582740e+23,1.304551407501698170e+23,1.304563520466080403e+23,1.304573762568598428e+23,1.304582585506846474e+23,1.304590297809451284e+23,1.304597117347174589e+23,1.304603201267311795e+23,1.304608663837904522e+23,1.304613587619060436e+23,1.304618031005915572e+23,1.304622033938401439e+23,1.304625622799903359e+23,1.304628814978009897e+23,1.304631623162449730e+23,1.304634059202668360e+23,1.304636137242592039e+23,1.304637875875044099e+23,1.304639299173380826e+23,1.304640436613595687e+23,1.304641322050780639e+23,1.304641992027238690e+23,1.304642483748601017e+23,1.304642833065438630e+23,1.304643072747149743e+23,1.304643231246094004e+23,1.304643332041620639e+23,1.304643393547131893e+23,1.304643429478086906e+23,1.304643449528461411e+23,1.304643460191699358e+23,1.304643465584117369e+23,1.304643468171295945e+23,1.304643469346321822e+23,1.304643469850391934e+23,1.304643470054198534e+23,1.304643470131700548e+23,1.304643470159362486e+23,1.304643470168611262e+23,1.304643470171501809e+23,1.304643470172345032e+23,1.304643470172574208e+23,1.304643470172574208e+23,1.304643470172574208e+23,1.304643470172574208e+23,1.304643470172574208e+23,1.304643470172574208e+23,1.304643470172574208e+23,1.304643470172574208e+23,1.304643470172574208e+23,1.304643470172574208e+23,1.304643470172574208e+23,1.304643470172574208e+23,1.304643470172574208e+23,1.304643470172574208e+23,1.304643470172574208e+23,1.304643470172574208e+23,1.304643470172574208e+23,1.304643470172574208e+23,1.304643470172574208e+23,1.304643470172574208e+23,1.304643470172574208e+23,1.304643470172574208e+23,1.304643470172574208e+23,1.304643470172574208e+23,1.304643470172574208e+23,1.304643470172574208e+23
4.040404040404040208e-08,1.303107096899764114e+23,1.303918750487256079e+23,1.304125261873039257e+23,1.304230925246401064e+23,1.304298338664298976e+23,1.304346443167821055e+23,1.304383176722918995e+23,1.304412528884106815e+23,1.304436754812179558e+23,1.304457239016734772e+23,1.304474884892885086e+23,1.304490309497837343e+23,1.304503948573089003e+23,1.304516116413212420e+23,1.304527041554278253e+23,1.304536889116495289e+23,1.304545775890127043e+23,1.304553781755036199e+23,1.304560959477985176e+23,1.304567343834152619e+23,1.304572960202993529e+23,1.304577832283398409e+23,1.304581988363219595e+23,1.304585465628100563e+23,1.304588312224756065e+23,1.304590587105170686e+23,1.304592357979530524e+23,1.304593697932437063e+23,1.304594681375155846e+23,1.304595380008826207e+23,1.304595859372245244e+23,1.304596176370131418e+23,1.304596377961184688e+23,1.304596500972206188e+23,1.304596572834115711e+23,1.304596612934864218e+23,1.304596634261340281e+23,1.304596645046176469e+23,1.304596650220532280e+23,1.304596652570583866e+23,1.304596653578724426e+23,1.304596653986337794e+23,1.304596654141342325e+23,1.304596654196666369e+23,1.304596654215162914e+23,1.304596654220944846e+23,1.304596654222631292e+23,1.304596654223089813e+23,1.304596654223089813e+23,1.304596654223089813e+23,1.304596654223089813e+23,1.304596654223089813e+23,1.304596654223089813e+23,1.304596654223089813e+23,1.304596654223089813e+23,1.304596654223089813e+23,1.304596654223089813e+23,1.304596654223089813e+23,1.304596654223089813e+23,1.304596654223089813e+23,1.304596654223089813e+23,1.304596654223089813e+23,1.304596654223089813e+23,1.304596654223089813e+23,1.304596654223089813e+23,1.304596654223089813e+23,1.304596654223089813e+23,1.304596654223089813e+23,1.304596654223089813e+23,1.304596654223089813e+23,1.304596654223089813e+23,1.304596654223089813e+23,1.304596654223089813e+23
3.030303030303030487e-08,1.303502714417816262e+23,1.304111634336579961e+23,1.304266517921564627e+23,1.304345765458929202e+23,1.304396325525035732e+23,1.304432403903977567e+23,1.304459954071036829e+23,1.304481968192383489e+23,1.304500137638740078e+23,1.304515500792367295e+23,1.304528735199630899e+23,1.304540303653457919e+23,1.304550532959981724e+23,1.304559658840140724e+23,1.304567852695992234e+23,1.304575238367696828e+23,1.304581903447954702e+23,1.304587907846664209e+23,1.304593291138899724e+23,1.304598079406045271e+23,1.304602291682692940e+23,1.304605945743010567e+23,1.304609062802888537e+23,1.304611670751559077e+23,1.304613805699058379e+23,1.304615511859376475e+23,1.304616840015150548e+23,1.304617844979834185e+23,1.304618582561876083e+23,1.304619106537130489e+23,1.304619466059695899e+23,1.304619703808112544e+23,1.304619855001401992e+23,1.304619947259668285e+23,1.304620001156101728e+23,1.304620031231662731e+23,1.304620047226519232e+23,1.304620055315146416e+23,1.304620059195913777e+23,1.304620060958453263e+23,1.304620061714558097e+23,1.304620062020268668e+23,1.304620062136521353e+23,1.304620062178014428e+23,1.304620062191886837e+23,1.304620062196223244e+23,1.304620062197488078e+23,1.304620062197831340e+23,1.304620062197831340e+23,1.304620062197831340e+23,1.304620062197831340e+23,1.304620062197831340e+23,1.304620062197831340e+23,1.304620062197831340e+23,1.304620062197831340e+23,1.304620062197831340e+23,1.304620062197831340e+23,1.304620062197831340e+23,1.304620062197831340e+23,1.304620062197831340e+23,1.304620062197831340e+23,1.304620062197831340e+23,1.304620062197831340e+23,1.304620062197831340e+23,1.304620062197831340e+23,1.304620062197831340e+23,1.304620062197831340e+23,1.304620062197831340e+23,1.304620062197831340e+23,1.304620062197831340e+23,1.304620062197831340e+23,1.304620062197831340e+23,1.304620062197831340e+23
5.050505050505049929e-08,1.302711599179433886e+23,1.303725866705765165e+23,1.303984005840203101e+23,1.304116085041170177e+23,1.304200351807796287e+23,1.304260482434409966e+23,1.304306399376708228e+23,1.304343089577215436e+23,1.304373371986657380e+23,1.304398977241901181e+23,1.304421034586764057e+23,1.304440315342713709e+23,1.304457364186595412e+23,1.304472573986608419e+23,1.304486230412829686e+23,1.304498539865511349e+23,1.304509648332477222e+23,1.304519655663552975e+23,1.304528627817188740e+23,1.304536608262355597e+23,1.304543628723371461e+23,1.304549718823846648e+23,1.304554913923598133e+23,1.304559260504678287e+23,1.304562818750480426e+23,1.304565662350985533e+23,1.304567875943923922e+23,1.304569550885049000e+23,1.304570780188442152e+23,1.304571653480525616e+23,1.304572252684796434e+23,1.304572648932153145e+23,1.304572900920967383e+23,1.304573054684743588e+23,1.304573144512131204e+23,1.304573194638066209e+23,1.304573221296159819e+23,1.304573234777205349e+23,1.304573241245150782e+23,1.304573244182715643e+23,1.304573245442890924e+23,1.304573245952407928e+23,1.304573246146163130e+23,1.304573246215318311e+23,1.304573246238439328e+23,1.304573246245666113e+23,1.304573246247774171e+23,1.304573246248346777e+23,1.304573246248346777e+23,1.304573246248346777e+23,1.304573246248346777e+23,1.304573246248346777e+23,1.304573246248346777e+23,1.304573246248346777e+23,1.304573246248346777e+23,1.304573246248346777e+23,1.304573246248346777e+23,1.304573246248346777e+23,1.304573246248346777e+23,1.304573246248346777e+23,1.304573246248346777e+23,1.304573246248346777e+23,1.304573246248346777e+23,1.304573246248346777e+23,1.304573246248346777e+23,1.304573246248346777e+23,1.304573246248346777e+23,1.304573246248346777e+23,1.304573246248346777e+23,1.304573246248346777e+23,1.304573246248346777e+23,1.304573246248346777e+23,1.304573246248346777e+23
4.040404040404040208e-08,1.303107096899764282e+23,1.303918750487256079e+23,1.304125261873038754e+23,1.304230925246400393e+23,1.304298338664299312e+23,1.304346443167821055e+23,1.304383176722919499e+23,1.304412528884107318e+23,1.304436754812179390e+23,1.304457239016735444e+23,1.304474884892884751e+23,1.304490309497837511e+23,1.304503948573089171e+23,1.304516116413212252e+23,1.304527041554278420e+23,1.304536889116494953e+23,1.304545775890126875e+23,1.304553781755036534e+23,1.304560959477985176e+23,1.304567343834152619e+23,1.304572960202993697e+23,1.304577832283398073e+23,1.304581988363219595e+23,1.304585465628100395e+23,1.304588312224756065e+23,1.304590587105171189e+23,1.304592357979530189e+23,1.304593697932436560e+23,1.304594681375155846e+23,1.304595380008826039e+23,1.304595859372244740e+23,1.304596176370131251e+23,1.304596377961184184e+23,1.304596500972205853e+23,1.304596572834115543e+23,1.304596612934863883e+23,1.304596634261339777e+23,1.304596645046176302e+23,1.304596650220532280e+23,1.304596652570584369e+23,1.304596653578724594e+23,1.304596653986338633e+23,1.304596654141342157e+23,1.304596654196666034e+23,1.304596654215163250e+23,1.304596654220944511e+23,1.304596654222630957e+23,1.304596654223089142e+23,1.304596654223089142e+23,1.304596654223089142e+23,1.304596654223089142e+23,1.304596654223089142e+23,1.304596654223089142e+23,1.304596654223089142e+23,1.304596654223089142e+23,1.304596654223089142e+23,1.304596654223089142e+23,1.304596654223089142e+23,1.304596654223089142e+23,1.304596654223089142e+23,1.304596654223089142e+23,1.304596654223089142e+23,1.304596654223089142e+23,1.304596654223089142e+23,1.304596654223089142e+23,1.304596654223089142e+23,1.304596654223089142e+23,1.304596654223089142e+23,1.304596654223089142e+23,1.304596654223089142e+23,1.304596654223089142e+23,1.304596654223089142e+23,1.304596654223089142e+23
